group,model,a,b,tau,L,N,density,step,time_s,mean_velocity
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,20000,20.0,0.47386355833224225
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,20500,20.5,0.4426198481606202
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,21000,21.0,0.4717419620142505
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,21500,21.5,0.4134943242478747
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,22000,22.0,0.4384600147865069
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,22500,22.5,0.4242501016986622
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,23000,23.0,0.4483569885349465
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,23500,23.5,0.3978848872065266
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,24000,24.0,0.4880511997005942
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,24500,24.5,0.4026757480822171
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,25000,25.0,0.48523581779696273
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,25500,25.5,0.4809163230427681
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,26000,26.0,0.47658439835496236
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,26500,26.5,0.4697254136798679
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,27000,27.0,0.4952752210882764
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,27500,27.5,0.5306180267049982
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,28000,28.0,0.5167005945717766
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,28500,28.5,0.5038984853070735
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,29000,29.0,0.4485558300236181
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,29500,29.5,0.5270446437094207
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,30000,30.0,0.35312731962759436
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,30500,30.5,0.5521699612470385
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,31000,31.0,0.4282253345280801
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,31500,31.5,0.46960119774035397
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,32000,32.0,0.3950680277755515
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,32500,32.5,0.47604295426426296
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,33000,33.0,0.3928927069219652
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,33500,33.5,0.5153533315434753
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,34000,34.0,0.4669175568255442
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,34500,34.5,0.5163617494705847
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,35000,35.0,0.4318723325646395
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,35500,35.5,0.517119159584557
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,36000,36.0,0.4016940960387793
